model_path,split_type,norm,model_id,arel_data_tr,arel_data_un,norm_arel_data_tr,norm_arel_data_un,srel_data_tr,srel_data_un,r_data_tr,r_data_un
linear-california,train,E,6,2.36610833218205,7.01019126587957,0.703906224110189,2.08549929736516,0.0938452310177585,0.000902635928429876,0.647272065334088,0.379223615226317
linear-california,train,T,6,2.36855404183795,8.23448847004622,0.709376241961506,2.46620950258073,0.0936159932688516,0.000265342670774446,0.675184004039452,0.399831747177116
linear-california,union,E,6,2.42689859956985,7.85676323378384,0.716350859812171,2.31909116386621,0.0883102938901266,0.00038712487839905,0.630030308647472,0.336474433679789
linear-california,union,T,6,2.43678264524532,10.9099776902925,0.723452574586704,3.23904615133659,0.0874417304432276,1.82749792037181e-05,0.660463086580824,0.339348388545423
linear-california,test,E,7,1.8641729844009,2.28847433268875,0.584266962735215,0.71725100559123,0.155024364452332,0.101421078701404,0.681819246695998,0.390545710556523
linear-california,test,T,7,1.9214199776459,4.06098671428412,0.602568588714589,1.27354928213713,0.146398931255942,0.0172320076559033,0.707687623264415,0.326633833988216
linear-california,train,E,7,2.14131788202132,5.16431586454287,0.637032110682447,1.53635995059039,0.117499889946803,0.00571697268513929,0.660817665006187,0.393034368755862
linear-california,train,T,7,2.16517294306685,5.67823928673118,0.648464091770376,1.70061901693149,0.114730091107615,0.0034195740353528,0.677695143473624,0.402534007885611
linear-california,union,E,7,2.16596466170367,5.33203478148207,0.639330645297339,1.57386373742194,0.11463929310426,0.00483422340952998,0.644751025832144,0.371569427617877
linear-california,union,T,7,2.19291962230369,6.54154882065952,0.651052464491593,1.94211016125089,0.111590470518089,0.00144225297704902,0.665054293510454,0.359700314172429
linear-california,test,E,8,1.87178856766764,3.27786982043535,0.586653830124639,1.02734620673771,0.153848247588701,0.0377084971837437,0.67955329467082,0.52254184545995
linear-california,test,T,8,1.9316275254162,3.614874027621,0.605769735640168,1.13364572375963,0.144912158234331,0.0269203162199149,0.707725440493042,0.51707800032485
linear-california,train,E,8,2.14572693152982,6.84745150008202,0.63834378240484,2.0370849739392,0.116982967520471,0.00106215915908254,0.658041304925505,0.397031922203768
linear-california,train,T,8,2.1615493730695,7.2239240423061,0.647378841266565,2.16354788568387,0.115146577752086,0.000728936422053059,0.679739817576672,0.406995681199573
linear-california,union,E,8,2.17177484113625,6.89037715228871,0.641045643621922,2.03384170988727,0.113975149506392,0.00101753000484749,0.642044513875623,0.386046256367039
linear-california,union,T,8,2.19627591926847,7.33813329055235,0.652048910229166,2.17860687413754,0.111216567576238,0.000650263241229644,0.666519209872563,0.396561025837966
linear-california,test,E,9,1.88970016309817,2.11837039471343,0.592267661859949,0.663937224079651,0.151117112531007,0.120227392153244,0.681118647954679,0.345617737136559
linear-california,test,T,9,1.95400730829434,3.78401189380735,0.612788166978195,1.18668835187417,0.141705076350474,0.0227313126342641,0.707892661373364,0.306316054713895
linear-california,train,E,9,2.16923674260066,4.61723482002765,0.64533784185484,1.37360588430813,0.114264797088008,0.00988007851859575,0.659066337970654,0.370603554680306
linear-california,train,T,9,2.19166976403259,4.95859628971815,0.656399825956122,1.48508766921569,0.111730029987253,0.0070227788638693,0.678934722680856,0.385356560820537
linear-california,union,E,9,2.19467088628353,4.79185422453508,0.647803899459417,1.41441793013054,0.11139521716656,0.0082970585004027,0.643202712600006,0.348607998131112
linear-california,union,T,9,2.22162816050891,5.81224722642526,0.659575697336227,1.72558895570617,0.108432419641269,0.00299070173114401,0.666171865290569,0.341809634991795
linear-california,test,E,10,1.9264344021938,2.36446949385703,0.603780865025316,0.741069322008165,0.145666662349231,0.0939991542721846,0.677675605935945,0.528535642108779
