model_path,pairs,norm,arel_data,norm_arel_data,srel_data,r_data
linear-california,data moc_union & data moc_train,E,0.026465948793292,0.00781198900406469,0.973881205101165,0.998502940932741
linear-california,data moc_union & data moc_test,E,0.197244530005753,0.0582209280140145,0.820989852111884,0.994851466405112
linear-california,data moc_train & data moc_test,E,0.192356668649614,0.0572252142769374,0.825012559893825,0.993903863620542
linear-california,data moc_union & data moc_train,T,0.0293437134310603,0.00871180902041343,0.971082632955088,0.996515550432115
linear-california,data moc_union & data moc_test,T,0.179552878516912,0.0533071722629726,0.835643762172039,0.992595078261259
linear-california,data moc_train & data moc_test,T,0.188823393379152,0.0565521524202935,0.827932712182513,0.987615430583862
california,data moc_union & data moc_train,E,0.026465948793292,0.00781198900406469,0.973881205101165,0.998502940932741
california,data moc_union & data moc_test,E,0.197244530005753,0.0582209280140145,0.820989852111884,0.994851466405112
california,data moc_train & data moc_test,E,0.192356668649614,0.0572252142769374,0.825012559893825,0.993903863620542
california,data moc_union & data moc_train,T,0.0293437134310603,0.00871180902041343,0.971082632955088,0.996515550432115
california,data moc_union & data moc_test,T,0.179552878516912,0.0533071722629726,0.835643762172039,0.992595078261259
california,data moc_train & data moc_test,T,0.188823393379152,0.0565521524202935,0.827932712182513,0.987615430583862
iris,data moc_union & data moc_train,E,0,0,1,1
iris,data moc_union & data moc_test,E,0.390322943214977,0.338775009205858,0.676838258876508,0.515371753407362
iris,data moc_train & data moc_test,E,0.390322943214977,0.338775009205858,0.676838258876508,0.515371753407362
iris,data moc_union & data moc_train,T,0,0,1,0.999999999999934
iris,data moc_union & data moc_test,T,0.5586,0.358720780888775,0.57200931658441,0.532504884662457
iris,data moc_train & data moc_test,T,0.5586,0.358720780888775,0.57200931658441,0.532504884662457
MNIST,data moc_union & data moc_train,E,0,0,1,0.999999999999997
MNIST,data moc_union & data moc_test,E,0.0953179941039469,0.0978087360325082,0.909083805209918,0.861076028557344
MNIST,data moc_train & data moc_test,E,0.0953179941039469,0.0978087360325082,0.909083805209918,0.861076028557344
MNIST,data moc_union & data moc_train,T,0,0,1,1
MNIST,data moc_union & data moc_test,T,0.1058,0.0708735262593784,0.899604550995232,0.876792452093259
MNIST,data moc_train & data moc_test,T,0.1058,0.0708735262593784,0.899604550995232,0.876792452093259
