constant type,value,seconds required
trivial,3305.1548906344133,0.0004279613494873047
ECLipsE,"tensor(2.2483, dtype=torch.float64)",6.6251749992370605
ECLipsE_Fast,"tensor(2.2483, dtype=torch.float64)",0.006173133850097656
accuracy on train,1.0,0
accuracy on test,0.2175,0
dmoc_union_E,0.07554482918518308,142.07218623161316
dmoc_train_E,0.07554482918518308,103.32511925697327
dmoc_test_E,0.06707661558993755,2.654006004333496
dmoc_union_T,0.01708565143478877,130.02373576164246
dmoc_train_T,0.01708565143478877,96.99150204658508
dmoc_test_T,0.014885819563034369,2.654013156890869
