constant type,value,seconds required
trivial,5280.980868004234,0.0003807544708251953
ECLipsE,"tensor(10.6491, dtype=torch.float64)",19.99788808822632
ECLipsE_Fast,"tensor(10.6491, dtype=torch.float64)",0.011490821838378906
accuracy on train,0.9862,0
accuracy on test,0.9741,0
dmoc_union_E,0.24896538156764178,141.49855089187622
dmoc_train_E,0.24896538156764178,107.42777514457703
dmoc_test_E,0.18278426259401948,3.045900821685791
dmoc_union_T,0.05085588750738468,131.06916856765747
dmoc_train_T,0.05085588750738468,103.26469612121582
dmoc_test_T,0.0375600843744534,2.6218550205230713
