constant type,value,seconds required
trivial,21305.33196530802,0.0003972053527832031
ECLipsE,"tensor(3.8831, dtype=torch.float64)",63.17666006088257
ECLipsE_Fast,"tensor(3.8831, dtype=torch.float64)",0.016553878784179688
accuracy on train,1.0,0
accuracy on test,0.2461,0
dmoc_union_E,0.15530016078021955,130.66739773750305
dmoc_train_E,0.15530016078021955,104.12811803817749
dmoc_test_E,0.1318888961388794,2.6887881755828857
dmoc_union_T,0.02792902192291898,279.1172547340393
dmoc_train_T,0.02792902192291898,96.22853803634644
dmoc_test_T,0.02417438515540585,2.4864096641540527
