constant type,value,seconds required
trivial,3.0907048627700705e+18,0.002913951873779297
ECLipsE,"tensor(0.0716, dtype=torch.float64)",57.195921897888184
ECLipsE_Fast,"tensor(0.0716, dtype=torch.float64)",0.17011284828186035
accuracy on train,0.11236666666666667,0
accuracy on test,0.1135,0
dmoc_union_E,3.5433026345727358e-09,150.90065598487854
dmoc_train_E,3.5433026345727358e-09,108.12532711029053
dmoc_test_E,2.5966705292598057e-09,2.8755860328674316
dmoc_union_T,7.059725849623646e-10,128.011803150177
dmoc_train_T,7.059725849623646e-10,98.2414059638977
dmoc_test_T,4.5483762840994994e-10,2.6320841312408447
