constant type,value,seconds required
trivial,110905.85460256085,0.0009291172027587891
ECLipsE,"tensor(3.7682, dtype=torch.float64)",87.5617949962616
ECLipsE_Fast,"tensor(3.7682, dtype=torch.float64)",0.051789045333862305
accuracy on train,1.0,0
accuracy on test,0.2805,0
dmoc_union_E,0.22992930752372207,136.31756973266602
dmoc_train_E,0.22992930752372207,101.69935321807861
dmoc_test_E,0.19066521509891704,2.8185529708862305
dmoc_union_T,0.05580693276550257,123.50936985015869
dmoc_train_T,0.05580693276550257,96.70164561271667
dmoc_test_T,0.04656765366367853,2.6296679973602295
