constant type,value,seconds required
trivial,7113.4824362900645,0.00017690658569335938
ECLipsE,"tensor(0.4516, dtype=torch.float64)",4.1583640575408936
ECLipsE_Fast,"tensor(0.4516, dtype=torch.float64)",0.012069225311279297
accuracy on train,0.800000011920929,0
accuracy on test,0.3333333432674408,0
dmoc_union_E,0.036565566126677954,0.0008513927459716797
dmoc_train_E,0.036565566126677954,0.0007796287536621094
dmoc_test_E,0.030068113009491367,0.0006630420684814453
dmoc_union_T,0.04156224207854819,0.000823974609375
dmoc_train_T,0.04156224207854819,0.0007348060607910156
dmoc_test_T,0.033247777230092174,0.0006108283996582031
