constant type,value,seconds required
trivial,340.05434259458195,0.00014901161193847656
ECLipsE,"tensor(2.7945, dtype=torch.float64)",9.666605949401855
ECLipsE_Fast,"tensor(2.7945, dtype=torch.float64)",0.00822901725769043
accuracy on train,0.9750000238418579,0
accuracy on test,1.0,0
dmoc_union_E,1.4383636867077298,0.00090789794921875
dmoc_train_E,1.4383636867077298,0.0008091926574707031
dmoc_test_E,1.2032900580690142,0.0006165504455566406
dmoc_union_T,1.2187464773656373,0.0009367465972900391
dmoc_train_T,1.2187464773656373,0.0007708072662353516
dmoc_test_T,0.9992066215546139,0.0006270408630371094
