constant type,value,seconds required
trivial,1139.6406754477011,0.0002148151397705078
ECLipsE,"tensor(0.3940, dtype=torch.float64)",1.1014831066131592
ECLipsE_Fast,"tensor(0.3940, dtype=torch.float64)",0.002271890640258789
accuracy on train,0.800000011920929,0
accuracy on test,0.3333333432674408,0
dmoc_union_E,0.0031252623653291226,0.0008962154388427734
dmoc_train_E,0.0031252623653291226,0.0007550716400146484
dmoc_test_E,0.0023440331873847784,0.0005922317504882812
dmoc_union_T,0.0035304804345294848,0.0008461475372314453
dmoc_train_T,0.0035304804345294848,0.0007424354553222656
dmoc_test_T,0.002713225573072673,0.0005960464477539062
