constant type,value,seconds required
trivial,1750758365991280.8,0.00041294097900390625
ECLipsE,"tensor(0.0508, dtype=torch.float64)",3.4715142250061035
ECLipsE_Fast,"tensor(0.0508, dtype=torch.float64)",0.03983592987060547
accuracy on train,0.3333333432674408,0
accuracy on test,0.3333333432674408,0
dmoc_union_E,0.0,0.00102996826171875
dmoc_train_E,0.0,0.0008676052093505859
dmoc_test_E,0.0,0.0007088184356689453
dmoc_union_T,0.0,0.0008351802825927734
dmoc_train_T,0.0,0.0007724761962890625
dmoc_test_T,0.0,0.0005943775177001953
