constant type,value,seconds required
trivial,1037134483259.8281,0.00032806396484375
ECLipsE,"tensor(0.0569, dtype=torch.float64)",0.7533330917358398
ECLipsE_Fast,"tensor(0.0569, dtype=torch.float64)",0.007597923278808594
R^2 on train,0.0,0
R^2 on test,-0.0002976655960083008,0
dmoc_union_E,1.2621542406457586e-07,6.464542627334595
dmoc_train_E,1.2621542406457586e-07,3.612468957901001
dmoc_test_E,9.149701206024484e-08,0.2218325138092041
dmoc_union_T,6.020651998231988e-08,5.712152004241943
dmoc_train_T,6.020651998231988e-08,3.794390916824341
dmoc_test_T,4.665445282554429e-08,0.2014789581298828
