constant type,value,seconds required
trivial,371.5077723297868,0.00016999244689941406
ECLipsE,"tensor(4.4120, dtype=torch.float64)",29.908458948135376
ECLipsE_Fast,"tensor(4.4120, dtype=torch.float64)",0.007863044738769531
R^2 on train,0.7690405249595642,0
R^2 on test,0.7546231746673584,0
dmoc_union_E,5.169610710588747,6.4895994663238525
dmoc_train_E,5.169610710588747,4.3194169998168945
dmoc_test_E,4.33975003694718,0.2711670398712158
dmoc_union_T,2.7362647436838063,5.816144943237305
dmoc_train_T,2.694684492004581,3.497122049331665
dmoc_test_T,2.3061505721629096,0.2175159454345703
