constant type,value,seconds required
trivial,1.002608521737553e+18,0.002759218215942383
ECLipsE,"tensor(0.0583, dtype=torch.float64)",17.17278790473938
ECLipsE_Fast,"tensor(0.0583, dtype=torch.float64)",0.16469502449035645
R^2 on train,0.0,0
R^2 on test,-0.0002976655960083008,0
dmoc_union_E,6.611668906752771e-08,6.312725067138672
dmoc_train_E,6.153227051398658e-08,3.5327200889587402
dmoc_test_E,5.317332409223872e-08,0.2090458869934082
dmoc_union_T,3.463529692110472e-08,6.7431299686431885
dmoc_train_T,2.9126134486878815e-08,4.67807412147522
dmoc_test_T,2.5271903002901063e-08,0.21715617179870605
