constant type,value,seconds required
trivial,1528.8750048696459,0.00023508071899414062
ECLipsE,"tensor(2.0497, dtype=torch.float64)",3.296405076980591
ECLipsE_Fast,"tensor(2.0497, dtype=torch.float64)",0.0021600723266601562
R^2 on train,0.929328441619873,0
R^2 on test,-0.8204483985900879,0
dmoc_union_E,1.809458039043037,5.005530118942261
dmoc_train_E,1.809458039043037,3.508563995361328
dmoc_test_E,1.6860851091429692,0.20905399322509766
dmoc_union_T,0.8985492587858115,6.695112943649292
dmoc_train_T,0.8971430407276022,3.9620769023895264
dmoc_test_T,0.870810548108794,0.24447107315063477
