constant type,value,seconds required
trivial,1060622356964872.0,0.00043487548828125
ECLipsE,"tensor(0.0546, dtype=torch.float64)",5.355887174606323
ECLipsE_Fast,"tensor(0.0546, dtype=torch.float64)",0.03908586502075195
R^2 on train,-1.1920928955078125e-07,0
R^2 on test,-0.0002976655960083008,0
dmoc_union_E,1.433578498600759e-07,6.250730037689209
dmoc_train_E,1.433578498600759e-07,4.288362979888916
dmoc_test_E,5.839316432125129e-08,0.26091933250427246
dmoc_union_T,7.216845618778117e-08,5.9389989376068115
dmoc_train_T,7.216845618778117e-08,3.6612188816070557
dmoc_test_T,4.1654199282798246e-08,0.23309636116027832
