constant type,value,seconds required
trivial,1.114254759680365,9.107589721679688e-05
ECLipsE,"tensor(1.1143, dtype=torch.float64)",5.984306335449219e-05
ECLipsE_Fast,"tensor(1.1143, dtype=torch.float64)",1.7881393432617188e-05
dmoc_union_E,1.1070071550052862,5.373297214508057
dmoc_train_E,1.1065440798612227,3.6134326457977295
dmoc_test_E,1.106268404712208,0.25047898292541504
dmoc_union_T,0.7105822704481837,6.547181129455566
dmoc_train_T,0.7105822704481837,3.805850028991699
dmoc_test_T,0.6934962885471926,0.2924990653991699
