constant type,value,seconds required
trivial,1.1681569344196852,0.00011014938354492188
ECLipsE,"tensor(1.1682, dtype=torch.float64)",5.4836273193359375e-05
ECLipsE_Fast,"tensor(1.1682, dtype=torch.float64)",2.288818359375e-05
dmoc_union_E,1.1593306411628816,5.865397930145264
dmoc_train_E,1.1593306411628816,3.89274001121521
dmoc_test_E,1.157985191203366,0.23931527137756348
dmoc_union_T,0.7148858109273301,7.072822093963623
dmoc_train_T,0.7148858109273301,4.075011968612671
dmoc_test_T,0.6975567652582788,0.2776908874511719
