constant type,value,seconds required
trivial,1.0937956265412625,9.608268737792969e-05
ECLipsE,"tensor(1.0938, dtype=torch.float64)",6.699562072753906e-05
ECLipsE_Fast,"tensor(1.0938, dtype=torch.float64)",2.193450927734375e-05
dmoc_union_E,1.0894657162271413,6.225876092910767
dmoc_train_E,1.0864261130278623,4.653099536895752
dmoc_test_E,1.0850032395374316,0.2779228687286377
dmoc_union_T,0.6933847522028558,6.799537181854248
dmoc_train_T,0.6933847522028558,4.240926027297974
dmoc_test_T,0.6789240040769449,0.25743770599365234
