constant type,value,seconds required
trivial_l2,1.1452072604054335,0.00012683868408203125
trivial_l1,0.7144966125488281,5.412101745605469e-05
ECLipsE,"tensor(1.1452, dtype=torch.float64)",7.295608520507812e-05
ECLipsE_Fast,"tensor(1.1452, dtype=torch.float64)",2.9802322387695312e-05
dmoc_union_E,1.1384535939545788,5.288088083267212
dmoc_train_E,1.1384535939545788,4.4808127880096436
dmoc_test_E,1.1303608210123879,0.26617431640625
dmoc_union_T,0.681025490013117,4.573503732681274
dmoc_train_T,0.681025490013117,2.875595808029175
dmoc_test_T,0.6688894672159851,0.16880583763122559
