constant type,value,seconds required
trivial_l2,1.1658146749356197,0.00012493133544921875
trivial_l1,0.7245017290115356,5.1021575927734375e-05
ECLipsE,"tensor(1.1658, dtype=torch.float64)",7.295608520507812e-05
ECLipsE_Fast,"tensor(1.1658, dtype=torch.float64)",2.9087066650390625e-05
dmoc_union_E,1.1597599056659167,5.826929092407227
dmoc_train_E,1.1597599056659167,3.911748170852661
dmoc_test_E,1.1509852340217614,0.24874210357666016
dmoc_union_T,0.6907417435234303,4.672008752822876
dmoc_train_T,0.6907417435234303,3.005039691925049
dmoc_test_T,0.6772770125771831,0.18384408950805664
