constant type,value,seconds required
trivial,1.125909871060528,0.00010609626770019531
ECLipsE,"tensor(1.1259, dtype=torch.float64)",5.7220458984375e-05
ECLipsE_Fast,"tensor(1.1259, dtype=torch.float64)",2.574920654296875e-05
dmoc_union_E,1.117842423333402,6.321022272109985
dmoc_train_E,1.1170785498923546,4.141560792922974
dmoc_test_E,1.1166082820751466,0.24208545684814453
dmoc_union_T,0.7261319198935604,5.703350067138672
dmoc_train_T,0.7261319198935604,3.0290160179138184
dmoc_test_T,0.7069850675500485,0.1837937831878662
