constant type,value,seconds required
trivial_l2,1.1596269830599752,0.0001308917999267578
trivial_l1,0.7529361248016357,5.3882598876953125e-05
ECLipsE,"tensor(1.1596, dtype=torch.float64)",7.390975952148438e-05
ECLipsE_Fast,"tensor(1.1596, dtype=torch.float64)",3.314018249511719e-05
dmoc_union_E,1.1501818009758098,5.751860857009888
dmoc_train_E,1.1501818009758098,3.874521255493164
dmoc_test_E,1.1500800135977376,0.23048186302185059
dmoc_union_T,0.7169579069073776,4.296472072601318
dmoc_train_T,0.7169579069073776,2.486476182937622
dmoc_test_T,0.6993813450945103,0.18654179573059082
