constant type,value,seconds required
trivial,1.1270550922355749,0.00011086463928222656
ECLipsE,"tensor(1.1271, dtype=torch.float64)",6.794929504394531e-05
ECLipsE_Fast,"tensor(1.1271, dtype=torch.float64)",1.7881393432617188e-05
dmoc_union_E,1.1203456138865229,6.589524030685425
dmoc_train_E,1.1200467586252965,4.771873235702515
dmoc_test_E,1.1181225933140626,0.2620718479156494
dmoc_union_T,0.7015851869511517,6.847393751144409
dmoc_train_T,0.7015851869511517,4.15617299079895
dmoc_test_T,0.6862136827601735,0.2765309810638428
