constant type,value,seconds required
trivial,1.1995705887134478,9.608268737792969e-05
ECLipsE,"tensor(1.1996, dtype=torch.float64)",5.817413330078125e-05
ECLipsE_Fast,"tensor(1.1996, dtype=torch.float64)",2.002716064453125e-05
dmoc_union_E,1.188567614631767,5.739286184310913
dmoc_train_E,1.1878581857187995,4.3953588008880615
dmoc_test_E,1.188567614631767,0.27038121223449707
dmoc_union_T,0.6717123117036751,6.250554323196411
dmoc_train_T,0.6715850992092128,3.7662835121154785
dmoc_test_T,0.6717123117036751,0.21894311904907227
