constant type,value,seconds required
trivial,1.1386616198682247,0.00010991096496582031
ECLipsE,"tensor(1.1387, dtype=torch.float64)",6.198883056640625e-05
ECLipsE_Fast,"tensor(1.1387, dtype=torch.float64)",2.3126602172851562e-05
dmoc_union_E,1.1299997490723475,6.135848045349121
dmoc_train_E,1.1293620246465639,4.500409841537476
dmoc_test_E,1.1283968026937066,0.28652024269104004
dmoc_union_T,0.7334426251511059,5.864619016647339
dmoc_train_T,0.7334426251511059,3.404613971710205
dmoc_test_T,0.7129508101654626,0.2764739990234375
