constant type,value,seconds required
trivial,1.1802541178744785,0.00011014938354492188
ECLipsE,"tensor(1.1803, dtype=torch.float64)",5.507469177246094e-05
ECLipsE_Fast,"tensor(1.1803, dtype=torch.float64)",1.7881393432617188e-05
dmoc_union_E,1.1734830893286337,6.486786127090454
dmoc_train_E,1.1734830893286337,4.064902067184448
dmoc_test_E,1.1647313674115107,0.2815589904785156
dmoc_union_T,0.6857209807373765,6.705431938171387
dmoc_train_T,0.6857209807373765,4.220435857772827
dmoc_test_T,0.6735163664897986,0.24375414848327637
